season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total
2006,Karlsruher SC (1.),,8,10,9,0,10,20,10,2,69
2006,MSV Duisburg (3.),,10,10,11,0,10,11,11,3,66
2006,SC Freiburg (4.),,4,6,9,0,9,14,12,1,55
2006,SpVgg Greuther F¨¹rth (5.),,4,8,9,0,9,8,13,2,53
2006,FC Hansa Rostock (2.),,6,5,7,1,7,10,12,1,49
2006,1. FC K?ln (9.),,8,10,5,0,3,12,10,1,49
2006,1.FC Kaiserslautern (6.),,5,6,8,0,14,7,8,0,48
2006,TSV 1860 Munich (8.),,5,5,4,0,12,7,13,1,47
2006,FC Erzgebirge Aue (10.),,4,6,6,0,8,7,14,1,46
2006,FC Augsburg (7.),,5,7,12,1,7,6,4,1,43
2006,Kickers Offenbach (14.),,4,7,11,0,3,5,10,2,42
2006,SV Wacker Burghausen (17.),,5,3,2,0,11,11,7,3,42
2006,FC Carl Zeiss Jena (13.),,6,3,8,1,8,8,5,1,40
2006,TuS Koblenz (12.),,5,2,6,1,4,10,6,2,36
2006,Rot-Weiss Essen (15.),,4,5,7,1,6,6,5,0,34
2006,SpVgg Unterhaching (16.),,7,4,6,0,5,4,7,0,33
2006,SC Paderborn 07 (11.),,3,4,5,0,4,5,8,3,32
2006,Eintracht Braunschweig (18.),,1,3,3,0,3,5,5,0,20
2007,Borussia M?nchengladbach (1.),,13,7,8,0,15,12,15,1,71
2007,1. FC K?ln (3.),,11,10,8,0,7,15,9,2,62
2007,1.FSV Mainz 05 (4.),,9,9,6,1,14,10,10,3,62
2007,TSG 1899 Hoffenheim (2.),,5,11,9,0,10,11,14,0,60
2007,SpVgg Greuther F¨¹rth (6.),,4,7,10,1,9,6,12,4,53
2007,SC Freiburg (5.),,5,6,7,0,9,8,13,1,49
2007,Alemannia Aachen (7.),,8,9,5,0,9,8,10,0,49
2007,FC Erzgebirge Aue (16.),,8,6,8,0,5,10,11,1,49
2007,SV Wehen Wiesbaden (9.),,8,7,9,0,7,8,6,2,47
2007,FC St. Pauli (10.),,9,6,10,0,9,5,8,0,47
2007,TuS Koblenz (8.),,2,8,9,1,11,5,8,2,46
2007,FC Carl Zeiss Jena (18.),,6,3,7,1,7,9,11,1,45
2007,VfL Osnabr¨¹ck (12.),,4,5,11,0,9,6,8,0,43
2007,TSV 1860 Munich (11.),,3,6,6,1,7,10,7,2,42
2007,FC Augsburg (14.),,1,7,8,0,8,8,7,0,39
2007,Kickers Offenbach (15.),,3,9,5,0,7,6,7,1,38
2007,1.FC Kaiserslautern (13.),,2,10,7,1,1,8,7,1,37
2007,SC Paderborn 07 (17.),,1,4,10,0,6,8,3,1,33
2008,1.FSV Mainz 05 (2.),,7,10,12,0,8,12,11,2,62
2008,SC Freiburg (1.),,9,7,7,0,7,14,15,1,60
2008,SpVgg Greuther F¨¹rth (5.),,10,10,11,0,4,9,16,0,60
2008,Alemannia Aachen (4.),,8,8,9,0,9,7,15,2,58
2008,MSV Duisburg (6.),,6,12,10,0,8,7,11,2,56
2008,1.FC Kaiserslautern (7.),,7,5,3,0,8,19,9,2,53
2008,FC St. Pauli (8.),,6,5,12,0,11,10,6,2,52
2008,FC Hansa Rostock (13.),,6,9,11,0,7,7,12,0,52
2008,1.FC Nuremberg (3.),,4,11,10,0,6,9,9,2,51
2008,TuS Koblenz (14.),,6,8,15,0,6,6,5,1,47
