season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total,team2
2006,Inter Milan (1.),,10,10,9,0,19,22,9,1,80,Inter Milan
2006,AS Roma (2.),,7,7,14,1,14,15,10,6,74,AS Roma
2006,ACF Fiorentina (5.),,7,9,12,3,7,10,12,2,62,ACF Fiorentina
2006,SS Lazio (3.),,6,9,9,2,11,12,9,1,59,SS Lazio
2006,US Palermo (6.),,9,8,11,3,7,10,9,1,58,US Palermo
2006,AC Milan (4.),,9,9,10,0,5,7,14,3,57,AC Milan
2006,Atalanta BC (8.),,9,5,11,1,11,10,5,4,56,Atalanta BC
2006,Urbs Reggina 1914 (14.),,6,5,7,0,15,8,10,1,52,Urbs Reggina
2006,Udinese Calcio (10.),,5,8,12,0,8,10,4,2,49,Udinese Calcio
2006,Calcio Catania (13.),,2,7,5,1,9,13,7,2,46,Calcio Catania
2006,UC Sampdoria (9.),,5,9,6,0,8,9,5,2,44,UC Sampdoria
2006,FC Empoli (7.),,5,11,5,1,11,5,3,1,42,FC Empoli
2006,AS Livorno (11.),,3,12,2,1,8,10,3,2,41,AS Livorno
2006,Parma Calcio 1913 (12.),,5,11,5,0,3,4,12,1,41,Parma Calcio
2006,Chievo Verona (18.),,3,8,8,1,7,5,6,0,38,Chievo Verona
2006,ACR Messina (20.),,3,3,5,1,4,7,10,4,37,ACR Messina
2006,Ascoli Picchio (19.),,4,6,6,0,6,5,7,2,36,Ascoli Picchio
2006,Robur Siena (15.),,2,6,3,1,2,5,12,4,35,Robur Siena
2006,Cagliari Calcio (16.),,8,3,3,1,5,9,5,1,35,Cagliari Calcio
2006,Torino FC (17.),,2,4,1,0,5,2,11,2,27,Torino FC
2007,AS Roma (2.),,9,17,13,0,10,7,15,1,72,AS Roma
2007,Juventus FC (3.),,6,11,9,0,13,13,15,5,72,Juventus FC
2007,Inter Milan (1.),,12,12,11,1,11,9,12,1,69,Inter Milan
2007,AC Milan (5.),,5,9,7,1,13,15,13,3,66,AC Milan
2007,UC Sampdoria (6.),,7,7,12,1,7,6,15,1,56,UC Sampdoria
2007,ACF Fiorentina (4.),,3,10,7,2,8,11,11,3,55,ACF Fiorentina
2007,Atalanta BC (9.),,2,8,11,2,10,9,8,2,52,Atalanta BC
2007,SSC Napoli (8.),,4,4,7,1,8,13,9,4,50,SSC Napoli
2007,Udinese Calcio (7.),,7,9,6,0,6,8,9,3,48,Udinese Calcio
