season,team,none,15min,30min,45min,45min+,60min,75min,90min,90min+,team_total,team2
2006,FC Barcelona (2.),,6,11,18,1,16,5,16,5,78,FC Barcelona
2006,Real Madrid (1.),,10,7,9,0,14,9,15,1,65,Real Madrid
2006,Sevilla FC (3.),,7,11,8,0,11,13,10,4,64,Sevilla FC
2006,Valencia CF (4.),,6,10,10,0,11,10,8,2,57,Valencia CF
2006,Real Zaragoza (6.),,5,8,8,1,12,7,13,1,55,Real Zaragoza
2006,Recreativo Huelva (8.),,8,4,6,1,13,6,13,3,54,Recreativo Huelva
2006,CA Osasuna (14.),,5,7,6,1,12,12,7,1,51,CA Osasuna
2006,Villarreal CF (5.),,3,8,4,0,12,8,11,2,48,Villarreal CF
2006,Atl¨¦tico Madrid (7.),,7,6,6,1,7,8,10,1,46,Atl¨¦tico Madrid
2006,RCD Espanyol Barcelona (11.),,9,7,2,1,8,8,5,6,46,RCD Espanyol
2006,Athletic Bilbao (17.),,6,7,4,0,7,8,10,2,44,Athletic Bilbao
2006,Racing Santander (10.),,4,3,3,0,7,12,12,1,42,Racing Santander
2006,Celta de Vigo (18.),,4,3,9,0,9,10,4,1,40,Celta de
2006,Getafe CF (9.),,4,4,8,0,11,10,2,0,39,Getafe CF
2006,RCD Mallorca (12.),,4,6,4,1,9,4,9,2,39,RCD Mallorca
2006,Levante UD (15.),,6,5,9,0,4,8,4,1,37,Levante UD
2006,Real Betis Balompi¨¦ (16.),,4,3,6,1,5,3,11,3,36,Real Betis
2006,Gimn¨¤stic de Tarragona (20.),,3,4,7,0,5,7,7,1,34,Gimn¨¤stic de
2006,Deportivo de La Coru?a (13.),,2,6,1,1,4,11,6,1,32,Deportivo de
2006,Real Sociedad (19.),,4,6,6,0,5,2,6,3,32,Real Sociedad
2007,Real Madrid (1.),,16,9,13,0,7,19,19,1,84,Real Madrid
2007,FC Barcelona (3.),,13,15,8,1,11,14,12,2,76,FC Barcelona
2007,Sevilla FC (4.),,11,12,12,0,11,12,12,5,75,Sevilla FC
2007,RCD Mallorca (7.),,11,11,7,0,13,10,13,4,69,RCD Mallorca
2007,Atl¨¦tico Madrid (5.),,11,13,12,0,8,12,7,3,66,Atl¨¦tico Madrid
2007,Villarreal CF (2.),,10,8,14,0,2,12,14,3,63,Villarreal CF
2007,Real Zaragoza (18.),,5,11,5,0,5,9,13,2,50,Real Zaragoza
2007,Valencia CF (10.),,9,8,7,0,6,10,8,0,48,Valencia CF
2007,Deportivo de La Coru?a (8.),,6,6,8,0,9,7,10,0,46,Deportivo de
2007,Real Betis Balompi¨¦ (14.),,7,2,8,0,10,7,10,1,45,Real Betis
2007,Getafe CF (13.),,8,2,4,0,8,8,12,2,44,Getafe CF
2007,RCD Espanyol Barcelona (12.),,9,7,7,1,9,2,8,0,43,RCD Espanyol
2007,Racing Santander (6.),,3,4,4,0,9,8,11,3,42,Racing Santander
2007,Real Valladolid CF (15.),,5,7,7,1,9,8,3,2,42,Real Valladolid
2007,UD Almer¨ªa (9.),,6,6,8,0,8,7,6,0,41,UD Almer¨ªa
2007,Athletic Bilbao (11.),,10,5,5,0,6,8,4,2,40,Athletic Bilbao
2007,Recreativo Huelva (16.),,5,7,9,0,9,4,4,2,40,Recreativo Huelva
2007,CA Osasuna (17.),,5,6,5,0,7,8,5,1,37,CA Osasuna
2007,Real Murcia CF (19.),,3,6,3,0,6,5,10,3,36,Real Murcia
2007,Levante UD (20.),,4,2,8,0,8,4,6,1,33,Levante UD
2008,FC Barcelona (1.),,11,25,15,1,14,15,23,1,105,FC Barcelona
2008,Real Madrid (2.),,10,13,15,1,21,12,7,4,83,Real Madrid
2008,Atl¨¦tico Madrid (4.),,10,12,14,0,12,7,23,2,80,Atl¨¦tico Madrid
2008,Valencia CF (6.),,8,10,11,0,7,15,17,0,68,Valencia CF
2008,Villarreal CF (5.),,8,11,11,0,12,9,9,1,61,Villarreal CF
2008,M¨¢laga CF (8.),,8,8,12,0,7,7,12,1,55,M¨¢laga CF
2008,Sevilla FC (3.),,4,7,10,0,9,6,15,3,54,Sevilla FC
2008,RCD Mallorca (9.),,8,6,7,0,7,14,9,2,53,RCD Mallorca
2008,Real Betis Balompi¨¦ (18.),,7,9,9,0,10,8,8,0,51,Real Betis
2008,Getafe CF (17.),,9,8,2,0,9,12,9,1,50,Getafe CF
2008,Racing Santander (11.),,7,9,9,0,8,5,11,0,49,Racing Santander
2008,Deportivo de La Coru?a (7.),,7,6,5,0,8,9,12,1,48,Deportivo de
2008,Athletic Bilbao (13.),,4,9,12,0,7,6,7,2,47,Athletic Bilbao
2008,Sporting Gij¨®n (16.),,6,12,8,0,12,5,4,0,47,Sporting Gij¨®n
2008,RCD Espanyol Barcelona (10.),,4,6,6,0,8,11,9,2,46,RCD Espanyol
2008,Real Valladolid CF (15.),,5,11,7,0,9,7,6,1,46,Real Valladolid
2008,UD Almer¨ªa (12.),,9,7,8,0,4,10,5,2,45,UD Almer¨ªa
2008,CA Osasuna (14.),,7,7,8,0,4,6,9,0,41,CA Osasuna
2008,CD Numancia (19.),,7,5,5,0,6,3,8,4,38,CD Numancia
2008,Recreativo Huelva (20.),,2,5,6,0,11,3,5,2,34,Recreativo Huelva
2009,Real Madrid (2.),,9,19,10,1,21,17,23,2,102,Real Madrid
2009,FC Barcelona (1.),,10,19,18,0,11,19,17,4,98,FC Barcelona
2009,Sevilla FC (4.),,9,10,13,1,10,14,7,1,65,Sevilla FC
2009,Valencia CF (3.),,6,9,9,0,12,11,8,4,59,Valencia CF
2009,RCD Mallorca (5.),,8,8,4,0,12,10,15,2,59,RCD Mallorca
2009,Getafe CF (6.),,5,6,11,0,15,8,11,2,58,Getafe CF
2009,Villarreal CF (7.),,6,12,8,0,15,7,10,0,58,Villarreal CF
2009,Atl¨¦tico Madrid (9.),,9,11,5,0,7,10,11,4,57,Atl¨¦tico Madrid
2009,Athletic Bilbao (8.),,10,7,8,0,7,5,13,0,50,Athletic Bilbao
2009,Real Zaragoza (14.),,3,8,10,0,3,8,13,1,46,Real Zaragoza
2009,UD Almer¨ªa (13.),,7,5,7,0,7,5,12,0,43,UD Almer¨ªa
2009,Racing Santander (16.),,0,3,12,0,10,7,8,2,42,Racing Santander
2009,M¨¢laga CF (17.),,5,6,6,1,2,12,9,1,42,M¨¢laga CF
2009,CD Tenerife (19.),,4,6,2,0,9,11,7,1,40,CD Tenerife
2009,Xerez CD (20.),,8,5,6,0,4,7,5,3,38,Xerez CD
2009,CA Osasuna (12.),,9,7,5,0,8,3,4,1,37,CA Osasuna
2009,Real Valladolid CF (18.),,1,6,5,0,11,4,7,3,37,Real Valladolid
2009,Sporting Gij¨®n (15.),,8,4,5,0,5,7,5,2,36,Sporting Gij¨®n
2009,Deportivo de La Coru?a (10.),,5,6,4,0,7,6,6,1,35,Deportivo de
2009,RCD Espanyol Barcelona (11.),,3,2,5,0,13,2,3,1,29,RCD Espanyol
2010,Real Madrid (2.),,12,22,12,0,19,15,20,2,102,Real Madrid
2010,FC Barcelona (1.),,8,21,13,0,18,14,18,3,95,FC Barcelona
2010,Valencia CF (3.),,10,9,9,1,7,12,11,5,64,Valencia CF
2010,Atl¨¦tico Madrid (5.),,11,7,10,0,6,14,11,3,62,Atl¨¦tico Madrid
2010,Sevilla FC (7.),,5,11,12,1,8,13,10,2,62,Sevilla FC
2010,Athletic Bilbao (6.),,11,11,3,1,7,12,8,6,59,Athletic Bilbao
2010,Villarreal CF (4.),,6,13,11,0,10,8,3,3,54,Villarreal CF
2010,M¨¢laga CF (11.),,10,8,11,0,9,6,8,2,54,M¨¢laga CF
2010,Real Sociedad (15.),,6,8,9,0,5,8,11,2,49,Real Sociedad
2010,Getafe CF (16.),,10,8,4,1,9,6,9,2,49,Getafe CF
2010,RCD Espanyol Barcelona (8.),,3,6,11,0,9,6,9,2,46,RCD Espanyol
2010,CA Osasuna (9.),,4,3,9,0,12,7,7,3,45,CA Osasuna
2010,Racing Santander (12.),,5,3,12,0,4,9,6,2,41,Racing Santander
2010,Levante UD (13.),,6,5,8,0,8,4,10,0,41,Levante UD
2010,RCD Mallorca (17.),,4,7,9,0,5,9,5,2,41,RCD Mallorca
2010,Real Zaragoza (14.),,5,0,11,0,10,7,5,2,40,Real Zaragoza
2010,H¨¦rcules CF (19.),,4,4,10,0,5,7,6,0,36,H¨¦rcules CF
2010,UD Almer¨ªa (20.),,11,4,3,0,6,4,6,2,36,UD Almer¨ªa
2010,Sporting Gij¨®n (10.),,6,2,7,0,6,6,5,3,35,Sporting Gij¨®n
2010,Deportivo de La Coru?a (18.),,4,5,2,1,8,5,5,1,31,Deportivo de
2011,Real Madrid (1.),,11,20,19,0,24,24,21,2,121,Real Madrid
2011,FC Barcelona (2.),,20,18,19,0,15,17,22,3,114,FC Barcelona
2011,Valencia CF (3.),,9,6,10,0,5,7,19,3,59,Valencia CF
2011,M¨¢laga CF (4.),,5,7,5,0,8,13,13,3,54,M¨¢laga CF
2011,Levante UD (6.),,7,9,7,0,11,9,6,5,54,Levante UD
2011,Atl¨¦tico Madrid (5.),,4,7,7,0,8,13,12,2,53,Atl¨¦tico Madrid
2011,Rayo Vallecano (15.),,7,5,5,1,8,14,9,4,53,Rayo Vallecano
2011,Athletic Bilbao (10.),,6,7,5,2,5,14,9,1,49,Athletic Bilbao
