date,weekday,league,home_away,half,overtime
2017-05-20,周六026,英甲,布拉德福(-1)VS米尔沃尔,0:0,0:1
2017-05-08,周日079,英甲,斯肯索普(-1)VS米尔沃尔,1:1,2:3
2017-05-08,周日078,英甲,福利特(+1)VS布拉德福,0:0,0:0
2017-05-05,周四008,英甲,米尔沃尔(-1)VS斯肯索普,0:0,0:0
2017-05-05,周四007,英甲,布拉德福(-1)VS福利特,0:0,1:0
2017-04-30,周日029,英甲,沃尔索尔(+1)VS米尔顿,0:2,1:4
2017-04-30,周日028,英甲,南安联(-1)VS贝里,1:0,1:0
2017-04-30,周日027,英甲,谢菲联(-2)VS切菲尔德,1:1,3:2
2017-04-30,周日026,英甲,斯肯索普(-1)VS考文垂,0:1,3:1
2017-04-30,周日025,英甲,罗奇代尔(-1)VS布拉德福,0:1,1:1
2017-04-30,周日024,英甲,北安普敦(+1)VS吉灵汉姆,0:0,0:0
2017-04-30,周日023,英甲,福利特(-1)VS维尔港,0:0,0:0
2017-04-30,周日022,英甲,查尔顿(-1)VS斯文登,2:0,3:0
2017-04-30,周日021,英甲,布流浪(+1)VS米尔沃尔,2:3,3:4
2017-04-30,周日020,英甲,博尔顿(-1)VS彼得堡联,1:0,3:0
2017-04-30,周日019,英甲,温布尔登(-1)VS奥德汉姆,0:0,0:0
2017-04-30,周日018,英甲,牛津联(-1)VS什鲁斯,2:0,2:0
2017-04-26,周二018,英甲,沃尔索尔(-1)VS维尔港,0:0,0:1
2017-04-22,周六056,英甲,斯文登(+1)VS斯肯索普,0:1,1:2
2017-04-22,周六055,英甲,什鲁斯(+1)VS南安联,0:0,1:0
2017-04-22,周六054,英甲,维尔港(+1)VS博尔顿,0:0,0:2
2017-04-22,周六053,英甲,彼得堡联(+1)VS布流浪,2:0,4:2
2017-04-22,周六052,英甲,奥德汉姆(+1)VS罗奇代尔,0:1,1:1
2017-04-22,周六051,英甲,米尔顿(+1)VS谢菲联,0:1,0:3
