date,weekday,league,home_away,half,overtime
2017-05-18,周三022,英冠,谢周三(-1)VS哈德斯,0:0,1:1
2017-05-17,周二014,英冠,雷丁(+1)VS富勒姆,0:0,1:0
2017-05-14,周日016,英冠,哈德斯(-1)VS谢周三,0:0,0:0
2017-05-14,周六048,英冠,富勒姆(-1)VS雷丁,0:0,1:1
2017-05-07,周日032,英冠,狼队(-1)VS普雷斯顿,1:0,1:0
2017-05-07,周日031,英冠,维冈(+1)VS利兹联,1:0,1:1
2017-05-07,周日030,英冠,谢周三(-1)VS富勒姆,1:1,1:2
2017-05-07,周日029,英冠,罗瑟汉姆(+1)VS德比郡,0:0,1:1
2017-05-07,周日028,英冠,诺丁汉(-1)VS伊普斯,1:0,3:0
2017-05-07,周日027,英冠,诺维奇(-1)VS女王巡游,1:0,4:0
2017-05-07,周日026,英冠,纽卡斯尔(-1)VS巴恩斯利,1:0,3:0
2017-05-07,周日025,英冠,哈德斯(-1)VS加的夫城,0:2,0:3
2017-05-07,周日024,英冠,伯顿(-1)VS雷丁,0:2,2:4
2017-05-07,周日023,英冠,布城(-1)VS伯明翰,0:1,0:1
2017-05-07,周日022,英冠,布伦特(-1)VS布莱克本,0:2,1:3
2017-05-07,周日021,英冠,维拉(+1)VS布赖顿,0:0,1:1
2017-04-30,周六054,英冠,布赖顿(-1)VS布城,0:1,0:1
2017-04-29,周六040,英冠,雷丁(-1)VS维冈,1:0,1:0
2017-04-29,周六039,英冠,女王巡游(-1)VS诺丁汉,0:0,2:0
2017-04-29,周六038,英冠,普雷斯顿(-1)VS罗瑟汉姆,1:1,1:1
2017-04-29,周六037,英冠,利兹联(-1)VS诺维奇,1:3,3:3
2017-04-29,周六036,英冠,伊普斯(+1)VS谢周三,0:0,0:1
2017-04-29,周六035,英冠,富勒姆(-1)VS布伦特,1:1,1:1
2017-04-29,周六034,英冠,德比郡(-1)VS狼队,2:1,3:1
2017-04-29,周六033,英冠,布莱克本(-1)VS维拉,0:0,1:0
2017-04-29,周六032,英冠,伯明翰(-1)VS哈德斯,1:0,2:0
2017-04-29,周六031,英冠,巴恩斯利(-1)VS伯顿,1:0,1:1
2017-04-29,周五023,英冠,加的夫城(+1)VS纽卡斯尔,0:0,0:2
2017-04-26,周二017,英冠,狼队(+1)VS哈德斯,0:1,0:1
2017-04-25,周一009,英冠,纽卡斯尔(-1)VS普雷斯顿,2:1,4:1
2017-04-23,周日010,英冠,维拉(-1)VS伯明翰,0:0,1:0
2017-04-22,周六044,英冠,狼队(-1)VS布莱克本,0:0,0:0
2017-04-22,周六043,英冠,维冈(-1)VS加的夫城,0:0,0:0
2017-04-22,周六042,英冠,谢周三(-1)VS德比郡,0:0,2:1
2017-04-22,周六041,英冠,罗瑟汉姆(+1)VS伊普斯,0:0,1:0
2017-04-22,周六040,英冠,诺丁汉(-1)VS雷丁,1:0,3:2
2017-04-22,周六039,英冠,哈德斯(-1)VS富勒姆,1:4,1:4
2017-04-22,周六038,英冠,伯顿(+1)VS利兹联,0:0,2:1
2017-04-22,周六037,英冠,布城(-1)VS巴恩斯利,0:1,3:2
2017-04-22,周六036,英冠,布伦特(-1)VS女王巡游,1:0,3:1
2017-04-22,周五029,英冠,诺维奇(-1)VS布赖顿,2:0,2:0
2017-04-18,周一038,英冠,德比郡(-1)VS哈德斯,0:1,1:1
