date,weekday,league,home_away,half,overtime
2017-05-22,周日076,意甲,拉齐奥(-1)VS国际米兰,1:2,1:3
2017-05-21,周日036,意甲,萨索洛(-1)VS卡利亚里,4:1,6:2
2017-05-21,周日035,意甲,乌迪内斯(-1)VS桑普,1:0,1:1
2017-05-21,周日034,意甲,尤文图斯(-2)VS克罗托内,2:0,3:0
2017-05-21,周日033,意甲,热那亚(-1)VS都灵,1:0,2:1
2017-05-21,周日032,意甲,恩波利(-1)VS亚特兰大,0:1,0:1
2017-05-21,周日031,意甲,AC米兰(-1)VS博洛尼亚,0:0,3:0
2017-05-21,周六044,意甲,那不勒斯(-1)VS佛罗伦萨,2:0,4:1
2017-05-21,周六033,意甲,切沃(+2)VS罗马,2:2,3:5
2017-05-15,周日064,意甲,罗马(-1)VS尤文图斯,1:1,3:1
2017-05-14,周日031,意甲,巴勒莫(+1)VS热那亚,1:0,1:0
2017-05-14,周日030,意甲,桑普(-1)VS切沃,1:0,1:1
2017-05-14,周日029,意甲,都灵(+1)VS那不勒斯,0:1,0:5
2017-05-14,周日028,意甲,克罗托内(-1)VS乌迪内斯,1:0,1:0
2017-05-14,周日027,意甲,卡利亚里(+1)VS恩波利,3:0,3:2
2017-05-14,周日026,意甲,博洛尼亚(-1)VS佩斯卡拉,1:1,3:1
2017-05-14,周日014,意甲,国际米兰(-1)VS萨索洛,0:1,1:2
2017-05-14,周六057,意甲,亚特兰大(-1)VSAC米兰,1:0,1:1
2017-05-14,周六040,意甲,佛罗伦萨(-1)VS拉齐奥,0:0,3:2
2017-05-08,周日085,意甲,AC米兰(+1)VS罗马,0:2,1:4
2017-05-07,周日054,意甲,萨索洛(+1)VS佛罗伦萨,0:1,2:2
2017-05-07,周日053,意甲,拉齐奥(-2)VS桑普,5:1,7:3
2017-05-07,周日052,意甲,佩斯卡拉(+1)VS克罗托内,0:0,0:1
2017-05-07,周日051,意甲,热那亚(+1)VS国际米兰,0:0,1:0
2017-05-07,周日050,意甲,恩波利(-1)VS博洛尼亚,2:1,3:1
2017-05-07,周日049,意甲,切沃(-1)VS巴勒莫,0:0,1:1
2017-05-07,周日019,意甲,乌迪内斯(+1)VS亚特兰大,0:1,1:1
2017-05-07,周六049,意甲,尤文图斯(-1)VS都灵,0:0,1:1
2017-05-07,周六033,意甲,那不勒斯(-3)VS卡利亚里,1:0,3:1
2017-05-01,周日068,意甲,国际米兰(+1)VS那不勒斯,0:1,0:1
2017-04-30,周日040,意甲,巴勒莫(+1)VS佛罗伦萨,1:0,2:0
2017-04-30,周日039,意甲,热那亚(-1)VS切沃,1:0,1:2
2017-04-30,周日038,意甲,克罗托内(+1)VSAC米兰,1:0,1:1
2017-04-30,周日037,意甲,恩波利(-1)VS萨索洛,1:2,1:3
2017-04-30,周日036,意甲,卡利亚里(-1)VS佩斯卡拉,1:0,1:0
2017-04-30,周日035,意甲,博洛尼亚(-1)VS乌迪内斯,2:0,4:0
2017-04-30,周日016,意甲,罗马(-1)VS拉齐奥,1:1,1:3
2017-04-30,周六067,意甲,都灵(-1)VS桑普,0:1,1:1
2017-04-29,周五024,意甲,亚特兰大(+1)VS尤文图斯,1:0,2:2
2017-04-25,周一010,意甲,佩斯卡拉(+2)VS罗马,0:2,1:4
2017-04-24,周日053,意甲,尤文图斯(-2)VS热那亚,3:0,4:0
2017-04-23,周日022,意甲,乌迪内斯(-1)VS卡利亚里,0:0,2:1
2017-04-23,周日021,意甲,桑普(-1)VS克罗托内,1:0,1:2
2017-04-23,周日020,意甲,拉齐奥(-2)VS巴勒莫,5:0,6:2
2017-04-23,周日019,意甲,AC米兰(-1)VS恩波利,0:1,1:2
2017-04-23,周日018,意甲,切沃(+1)VS都灵,0:0,1:3
2017-04-23,周日008,意甲,萨索洛(+1)VS那不勒斯,0:0,2:2
2017-04-23,周六086,意甲,佛罗伦萨(+1)VS国际米兰,1:2,5:4
2017-04-23,周六063,意甲,亚特兰大(-1)VS博洛尼亚,2:1,3:2
2017-04-16,周六073,意甲,那不勒斯(-2)VS乌迪内斯,0:0,3:0
2017-04-16,周六053,意甲,萨索洛(-1)VS桑普,0:1,2:1
2017-04-15,周六028,意甲,罗马(-1)VS亚特兰大,0:1,1:1
2017-04-15,周六027,意甲,巴勒莫(+1)VS博洛尼亚,0:0,0:0
2017-04-15,周六026,意甲,佩斯卡拉(+1)VS尤文图斯,0:2,0:2
2017-04-15,周六025,意甲,热那亚(+1)VS拉齐奥,1:1,2:2
2017-04-15,周六024,意甲,都灵(-1)VS克罗托内,0:0,1:1
2017-04-15,周六023,意甲,卡利亚里(-1)VS切沃,3:0,4:0
2017-04-15,周六022,意甲,佛罗伦萨(-1)VS恩波利,0:1,1:2
2017-04-15,周六015,意甲,国际米兰(-1)VSAC米兰,2:0,2:2
2017-04-10,周日052,意甲,拉齐奥(-1)VS那不勒斯,0:1,0:3
2017-04-09,周日022,意甲,乌迪内斯(-1)VS热那亚,2:0,3:0
2017-04-09,周日021,意甲,克罗托内(+1)VS国际米兰,2:0,2:1
2017-04-09,周日020,意甲,卡利亚里(+1)VS都灵,1:2,2:3
2017-04-09,周日019,意甲,博洛尼亚(+1)VS罗马,0:2,0:3
2017-04-09,周日018,意甲,AC米兰(-1)VS巴勒莫,3:0,4:0
2017-04-09,周日008,意甲,桑普(+1)VS佛罗伦萨,1:0,2:2
2017-04-09,周六100,意甲,尤文图斯(-1)VS切沃,1:0,2:0
2017-04-09,周六074,意甲,亚特兰大(-1)VS萨索洛,0:1,1:1
2017-04-08,周六028,意甲,恩波利(-1)VS佩斯卡拉,1:1,1:1
2017-04-04,周一008,意甲,国际米兰(-1)VS桑普,1:0,1:2
2017-04-03,周日059,意甲,那不勒斯(-1)VS尤文图斯,0:1,1:1
2017-04-02,周日028,意甲,巴勒莫(-1)VS卡利亚里,1:0,1:3
2017-04-02,周日027,意甲,佩斯卡拉(+1)VSAC米兰,1:1,1:1
2017-04-02,周日026,意甲,热那亚(+1)VS亚特兰大,0:2,0:5
2017-04-02,周日025,意甲,佛罗伦萨(-1)VS博洛尼亚,0:0,1:0
2017-04-02,周日024,意甲,切沃(-1)VS克罗托内,0:0,1:2
2017-04-02,周日013,意甲,都灵(-1)VS乌迪内斯,0:0,2:2
2017-04-02,周六087,意甲,罗马(-2)VS恩波利,1:0,2:0
2017-04-02,周六068,意甲,萨索洛(+1)VS拉齐奥,1:1,1:2
2017-03-20,周日053,意甲,罗马(-1)VS萨索洛,2:1,3:1
2017-03-20,周日045,意甲,乌迪内斯(-1)VS巴勒莫,1:1,4:1
2017-03-19,周日033,意甲,桑普(+1)VS尤文图斯,0:1,0:1
2017-03-19,周日032,意甲,克罗托内(+1)VS佛罗伦萨,0:0,0:1
2017-03-19,周日031,意甲,卡利亚里(+1)VS拉齐奥,0:0,0:0
2017-03-19,周日030,意甲,博洛尼亚(-1)VS切沃,0:1,4:1
2017-03-19,周日029,意甲,亚特兰大(-1)VS佩斯卡拉,1:0,3:0
2017-03-19,周日017,意甲,恩波利(+1)VS那不勒斯,0:3,2:3
2017-03-19,周六079,意甲,AC米兰(-1)VS热那亚,1:0,1:0
2017-03-19,周六060,意甲,都灵(+1)VS国际米兰,1:1,2:2
2017-03-14,周一018,意甲,拉齐奥(-1)VS都灵,0:0,3:1
2017-03-13,周日054,意甲,巴勒莫(+1)VS罗马,0:1,0:3
2017-03-12,周日036,意甲,佛罗伦萨(-1)VS卡利亚里,0:0,1:0
2017-03-12,周日035,意甲,那不勒斯(-2)VS克罗托内,1:0,3:0
2017-03-12,周日034,意甲,佩斯卡拉(+1)VS乌迪内斯,0:1,1:3
2017-03-12,周日033,意甲,国际米兰(-1)VS亚特兰大,5:1,7:1
2017-03-12,周日032,意甲,切沃(-1)VS恩波利,2:0,4:0
2017-03-12,周日014,意甲,萨索洛(-1)VS博洛尼亚,0:0,0:1
2017-03-12,周六077,意甲,热那亚(+1)VS桑普,0:0,0:1
2017-03-11,周五030,意甲,尤文图斯(-1)VSAC米兰,1:1,2:1
2017-03-06,周日051,意甲,博洛尼亚(+1)VS拉齐奥,0:1,0:2
2017-03-05,周日034,意甲,乌迪内斯(+1)VS尤文图斯,1:0,1:1
2017-03-05,周日033,意甲,都灵(-1)VS巴勒莫,0:1,3:1
2017-03-05,周日032,意甲,克罗托内(+1)VS萨索洛,0:0,0:0
2017-03-05,周日031,意甲,恩波利(-1)VS热那亚,0:0,0:2
2017-03-05,周日030,意甲,卡利亚里(+1)VS国际米兰,1:2,1:5
2017-03-05,周日016,意甲,亚特兰大(-1)VS佛罗伦萨,0:0,0:0
2017-03-05,周六090,意甲,AC米兰(-1)VS切沃,1:1,3:1
2017-03-05,周六067,意甲,桑普(-1)VS佩斯卡拉,1:1,3:1
2017-03-04,周六026,意甲,罗马(-1)VS那不勒斯,0:1,1:2
2017-02-28,周一007,意甲,佛罗伦萨(-1)VS都灵,2:0,2:2
2017-02-27,周日046,意甲,国际米兰(-1)VS罗马,0:1,1:3
2017-02-26,周日029,意甲,萨索洛(+1)VSAC米兰,0:1,0:1
