date,weekday,league,home_away,half,overtime
2017-05-20,周六011,日职,神户胜利(-1)VS东京FC,0:1,1:1
2017-05-20,周六010,日职,大阪钢巴(-1)VS鸟栖沙岩,2:0,3:0
2017-05-20,周六007,日职,大宫松鼠(+1)VS大阪樱花,0:0,0:3
2017-05-20,周六006,日职,横滨水手(-1)VS仙台七夕,1:0,1:1
2017-05-20,周六005,日职,甲府风林(+1)VS广岛三箭,1:1,1:2
2017-05-20,周六004,日职,浦和红钻(-1)VS清水鼓动,1:0,3:3
2017-05-20,周六003,日职,新泻天鹅(-1)VS札幌冈萨,0:0,1:0
2017-05-20,周六002,日职,磐田喜悦(+1)VS柏太阳神,0:1,0:2
2017-05-19,周五001,日职,鹿岛鹿角(-1)VS川崎前锋,0:2,0:3
2017-05-14,周日013,日职,札幌冈萨(+1)VS大阪钢巴,0:1,0:2
2017-05-14,周日011,日职,大宫松鼠(-1)VS仙台七夕,0:1,2:1
2017-05-14,周日007,日职,磐田喜悦(+1)VS川崎前锋,0:0,0:2
2017-05-14,周日006,日职,东京FC(-1)VS柏太阳神,0:1,1:2
2017-05-14,周日005,日职,大阪樱花(-1)VS广岛三箭,3:1,5:2
2017-05-14,周日004,日职,横滨水手(-1)VS甲府风林,1:0,1:0
2017-05-14,周日003,日职,新泻天鹅(+1)VS浦和红钻,1:5,1:6
2017-05-14,周日002,日职,鹿岛鹿角(-1)VS神户胜利,0:2,1:2
2017-05-14,周日001,日职,清水鼓动(-1)VS鸟栖沙岩,1:0,1:1
2017-05-07,周日017,日职,鸟栖沙岩(+1)VS横滨水手,1:0,1:0
2017-05-07,周日005,日职,甲府风林(+1)VS磐田喜悦,0:0,0:0
2017-05-07,周日004,日职,仙台七夕(+1)VS东京FC,0:1,0:2
2017-05-06,周六007,日职,广岛三箭(-1)VS神户胜利,0:1,1:1
2017-05-06,周六002,日职,柏太阳神(-1)VS大阪樱花,0:0,1:0
2017-05-06,周六001,日职,札幌冈萨(-1)VS大宫松鼠,0:0,1:0
