date,weekday,league,home_away,half,overtime
2017-05-19,周四009,英超,莱切斯特(+1)VS热刺,0:2,1:6
2017-05-18,周三021,英超,南安普敦(+1)VS曼联,0:0,0:0
2017-05-17,周二017,英超,曼城(-2)VS西布罗姆,2:0,3:1
2017-05-17,周二013,英超,阿森纳(-2)VS桑德兰,0:0,2:0
2017-05-16,周一002,英超,切尔西(-1)VS沃特福德,2:1,4:3
2017-05-14,周日047,英超,热刺(-1)VS曼联,1:0,2:1
2017-05-14,周日034,英超,西汉姆联(+1)VS利物浦,0:1,0:4
2017-05-14,周日015,英超,水晶宫(-1)VS赫尔城,2:0,4:0
2017-05-14,周六047,英超,斯托克城(+1)VS阿森纳,0:1,1:4
2017-05-13,周六029,英超,桑德兰(+1)VS斯旺西,0:2,0:2
2017-05-13,周六028,英超,米堡(+1)VS南安普敦,0:1,1:2
2017-05-13,周六027,英超,伯恩茅斯(-1)VS伯恩利,1:0,2:1
2017-05-13,周六015,英超,曼城(-2)VS莱切斯特,2:1,2:1
2017-05-13,周五019,英超,西布罗姆(+1)VS切尔西,0:0,0:1
2017-05-13,周五016,英超,埃弗顿(-1)VS沃特福德,0:0,1:0
2017-05-11,周三012,英超,南安普敦(+1)VS阿森纳,0:0,0:2
2017-05-09,周一013,英超,切尔西(-2)VS米堡,2:0,3:0
2017-05-07,周日062,英超,阿森纳(-1)VS曼联,0:0,2:0
2017-05-07,周日038,英超,利物浦(-1)VS南安普敦,0:0,0:0
2017-05-07,周六036,英超,斯旺西(+1)VS埃弗顿,1:0,1:0
2017-05-06,周六024,英超,莱切斯特(-1)VS沃特福德,1:0,3:0
2017-05-06,周六023,英超,赫尔城(-1)VS桑德兰,0:0,0:2
2017-05-06,周六022,英超,伯恩利(-1)VS西布罗姆,0:0,2:2
2017-05-06,周六021,英超,伯恩茅斯(-1)VS斯托克城,0:1,2:2
2017-05-06,周六013,英超,曼城(-2)VS水晶宫,1:0,5:0
2017-05-06,周五027,英超,西汉姆联(+1)VS热刺,0:0,1:0
2017-05-02,周一010,英超,沃特福德(+1)VS利物浦,0:1,0:1
2017-04-30,周日052,英超,热刺(-1)VS阿森纳,0:0,2:0
2017-04-30,周日044,英超,埃弗顿(+1)VS切尔西,0:0,0:3
2017-04-30,周日043,英超,米堡(+1)VS曼城,1:0,2:2
2017-04-30,周日017,英超,曼联(-1)VS斯旺西,1:0,1:1
2017-04-30,周六053,英超,水晶宫(-1)VS伯恩利,0:1,0:2
2017-04-29,周六030,英超,西布罗姆(-1)VS莱切斯特,0:1,0:1
2017-04-29,周六029,英超,桑德兰(+1)VS伯恩茅斯,0:0,0:1
2017-04-29,周六028,英超,斯托克城(-1)VS西汉姆联,0:0,0:0
2017-04-29,周六027,英超,南安普敦(-1)VS赫尔城,0:0,0:0
2017-04-28,周四009,英超,曼城(-1)VS曼联,0:0,0:0
2017-04-27,周三028,英超,水晶宫(+1)VS热刺,0:0,0:1
2017-04-27,周三026,英超,米堡(-1)VS桑德兰,1:0,1:0
2017-04-27,周三025,英超,阿森纳(-1)VS莱切斯特,0:0,1:0
2017-04-26,周二016,英超,切尔西(-1)VS南安普敦,2:1,4:2
2017-04-23,周日035,英超,利物浦(-1)VS水晶宫,1:1,1:2
2017-04-23,周日026,英超,伯恩利(+1)VS曼联,0:2,0:2
2017-04-22,周六035,英超,西汉姆联(+1)VS埃弗顿,0:0,0:0
2017-04-22,周六034,英超,斯旺西(-1)VS斯托克城,1:0,2:0
2017-04-22,周六033,英超,赫尔城(-1)VS沃特福德,0:0,2:0
2017-04-22,周六032,英超,伯恩茅斯(-1)VS米堡,2:0,4:0
2017-04-18,周一051,英超,米堡(+1)VS阿森纳,0:1,1:2
2017-04-16,周日037,英超,曼联(-1)VS切尔西,1:0,2:0
2017-04-16,周日027,英超,西布罗姆(+1)VS利物浦,0:1,0:1
2017-04-16,周六055,英超,南安普敦(+1)VS曼城,0:0,0:3
2017-04-15,周六040,英超,沃特福德(-1)VS斯旺西,1:0,1:0
2017-04-15,周六039,英超,桑德兰(+1)VS西汉姆联,1:1,2:2
2017-04-15,周六038,英超,斯托克城(-1)VS赫尔城,1:0,3:1
2017-04-15,周六037,英超,埃弗顿(-1)VS伯恩利,0:0,3:1
2017-04-15,周六036,英超,水晶宫(-1)VS莱切斯特,0:1,2:2
2017-04-15,周六019,英超,热刺(-2)VS伯恩茅斯,2:0,4:0
2017-04-11,周一012,英超,水晶宫(+1)VS阿森纳,1:0,3:0
2017-04-09,周日030,英超,埃弗顿(-1)VS莱切斯特,3:2,4:2
2017-04-09,周日015,英超,桑德兰(+1)VS曼联,0:1,0:3
2017-04-09,周六078,英超,伯恩茅斯(+1)VS切尔西,1:2,1:3
2017-04-08,周六041,英超,西汉姆联(-1)VS斯旺西,1:0,1:0
