date,weekday,league,home_away,half,overtime
2017-05-22,周日072,西甲,巴萨(-3)VS埃瓦尔,0:1,4:2
2017-05-22,周日071,西甲,马拉加(+2)VS皇马,0:1,0:2
2017-05-21,周日060,西甲,塞尔塔(+1)VS皇家社会,0:0,2:2
2017-05-21,周日059,西甲,巴伦西亚(+1)VS比利亚雷,0:1,1:3
2017-05-21,周日058,西甲,马竞(-1)VS毕尔巴鄂,2:0,3:1
2017-05-21,周六046,西甲,塞维利亚(-2)VS奥萨苏纳,3:0,5:0
2017-05-21,周六039,西甲,拉科(-1)VS拉帕马斯,3:0,3:0
2017-05-21,周六038,西甲,莱加内斯(-1)VS阿拉维斯,0:0,1:1
2017-05-20,周六031,西甲,希洪竞技(-1)VS贝蒂斯,1:1,2:2
2017-05-20,周五015,西甲,格拉纳达(+1)VS西班牙人,1:2,1:2
2017-05-18,周三027,西甲,塞尔塔(+2)VS皇马,0:1,1:4
2017-05-15,周日062,西甲,拉帕马斯(+3)VS巴萨,0:2,1:4
2017-05-15,周日061,西甲,埃瓦尔(-1)VS希洪竞技,0:1,0:1
2017-05-15,周日060,西甲,皇家社会(-1)VS马拉加,1:1,2:2
2017-05-15,周日059,西甲,皇马(-2)VS塞维利亚,2:0,4:1
2017-05-15,周日058,西甲,贝蒂斯(+1)VS马竞,0:0,1:1
2017-05-15,周日057,西甲,比利亚雷(-1)VS拉科,0:0,0:0
2017-05-15,周日056,西甲,毕尔巴鄂(-1)VS莱加内斯,1:0,1:1
2017-05-14,周日044,西甲,阿拉维斯(-1)VS塞尔塔,3:0,3:1
2017-05-13,周六030,西甲,西班牙人(-1)VS巴伦西亚,0:0,0:1
2017-05-09,周一011,西甲,莱加内斯(-1)VS贝蒂斯,2:0,4:0
2017-05-08,周日086,西甲,马拉加(-1)VS塞尔塔,1:0,3:0
2017-05-08,周日075,西甲,拉科(-1)VS西班牙人,0:2,1:2
2017-05-07,周日061,西甲,巴伦西亚(-2)VS奥萨苏纳,2:0,4:1
2017-05-07,周日018,西甲,阿拉维斯(+1)VS毕尔巴鄂,0:0,1:0
2017-05-07,周六050,西甲,格拉纳达(+3)VS皇马,0:4,0:4
2017-05-07,周六038,西甲,巴萨(-2)VS比利亚雷,2:1,4:1
2017-05-06,周六029,西甲,马竞(-1)VS埃瓦尔,0:0,1:0
2017-05-06,周六010,西甲,希洪竞技(-1)VS拉帕马斯,0:0,1:0
2017-05-06,周五028,西甲,塞维利亚(-1)VS皇家社会,1:0,1:1
2017-05-02,周一011,西甲,马拉加(+1)VS塞维利亚,1:1,4:2
2017-05-01,周日069,西甲,塞尔塔(+1)VS毕尔巴鄂,0:1,0:3
2017-05-01,周日061,西甲,埃瓦尔(-1)VS莱加内斯,0:0,2:0
2017-04-30,周日047,西甲,贝蒂斯(-1)VS阿拉维斯,1:0,1:4
2017-04-30,周日015,西甲,奥萨苏纳(+1)VS拉科,1:1,2:2
2017-04-30,周六068,西甲,西班牙人(+2)VS巴萨,0:0,0:3
2017-04-30,周六056,西甲,拉帕马斯(+1)VS马竞,0:3,0:5
2017-04-29,周六046,西甲,皇马(-2)VS巴伦西亚,1:0,2:1
2017-04-29,周六018,西甲,皇家社会(-2)VS格拉纳达,1:0,2:1
2017-04-29,周五025,西甲,比利亚雷(-1)VS希洪竞技,1:0,3:1
2017-04-28,周四010,西甲,毕尔巴鄂(-1)VS贝蒂斯,0:0,2:1
2017-04-28,周四007,西甲,塞维利亚(-1)VS塞尔塔,0:0,2:1
2017-04-28,周四006,西甲,阿拉维斯(-1)VS埃瓦尔,0:0,0:0
2017-04-27,周三030,西甲,拉科(+1)VS皇马,1:3,2:6
2017-04-27,周三020,西甲,巴伦西亚(-1)VS皇家社会,0:2,2:3
2017-04-27,周三019,西甲,莱加内斯(-1)VS拉帕马斯,0:0,3:0
2017-04-27,周三018,西甲,巴萨(-4)VS奥萨苏纳,2:0,7:1
2017-04-26,周二021,西甲,马竞(-1)VS比利亚雷,0:0,0:1
2017-04-26,周二012,西甲,格拉纳达(+1)VS马拉加,0:0,0:2
2017-04-26,周二010,西甲,希洪竞技(-1)VS西班牙人,1:0,1:1
2017-04-25,周一011,西甲,埃瓦尔(-1)VS毕尔巴鄂,0:0,0:1
2017-04-24,周日054,西甲,皇马(-1)VS巴萨,1:1,2:3
2017-04-24,周日045,西甲,拉帕马斯(-1)VS阿拉维斯,1:0,1:1
2017-04-23,周日030,西甲,塞尔塔(-1)VS贝蒂斯,0:0,0:1
2017-04-23,周日007,西甲,皇家社会(-1)VS拉科,1:0,1:0
2017-04-23,周六087,西甲,西班牙人(+1)VS马竞,0:0,0:1
2017-04-23,周六068,西甲,奥萨苏纳(-1)VS希洪竞技,1:0,2:2
2017-04-22,周六058,西甲,比利亚雷(-1)VS莱加内斯,0:0,2:1
2017-04-22,周六022,西甲,马拉加(-1)VS巴伦西亚,2:0,2:0
2017-04-22,周五031,西甲,塞维利亚(-2)VS格拉纳达,1:0,2:0
2017-04-18,周一049,西甲,阿拉维斯(+1)VS比利亚雷,2:0,2:1
2017-04-17,周日048,西甲,格拉纳达(-1)VS塞尔塔,0:1,0:3
2017-04-17,周日043,西甲,贝蒂斯(+1)VS埃瓦尔,1:0,2:0
2017-04-16,周日034,西甲,巴伦西亚(-1)VS塞维利亚,0:0,0:0
2017-04-16,周日018,西甲,莱加内斯(-1)VS西班牙人,0:0,0:1
2017-04-16,周六074,西甲,巴萨(-2)VS皇家社会,3:2,3:2
2017-04-16,周六057,西甲,马竞(-2)VS奥萨苏纳,1:0,3:0
2017-04-15,周六048,西甲,希洪竞技(+1)VS皇马,1:1,2:3
2017-04-15,周六018,西甲,拉科(-1)VS马拉加,0:0,2:0
2017-04-15,周五045,西甲,毕尔巴鄂(-1)VS拉帕马斯,3:1,5:1
2017-04-11,周一010,西甲,皇家社会(-1)VS希洪竞技,2:0,3:1
2017-04-10,周日053,西甲,拉帕马斯(-1)VS贝蒂斯,1:0,4:1
2017-04-10,周日046,西甲,奥萨苏纳(+1)VS莱加内斯,1:1,2:1
