date	weekday	league	home_away	half	overtime	goals
2017/5/14	周日043	德乙	慕1860(-1)VS波鸿	1:1	1:2	3
2017/5/14	周日042	德乙	卡斯鲁厄(+1)VS德累斯顿	1:3	3:4	7
2017/5/14	周日041	德乙	汉诺威96(-1)VS斯图加特	1:0	1:0	1
2017/5/14	周日040	德乙	维尔茨堡(-1)VS桑德豪森	0:1	0:1	1
2017/5/14	周日039	德乙	圣保利(-1)VS菲尔特	0:1	1:1	2
2017/5/14	周日038	德乙	奥厄(-1)VS凯泽	0:0	1:0	1
2017/5/14	周日037	德乙	比勒费(+1)VS不伦瑞克	2:0	6:0	6
2017/5/14	周日036	德乙	柏林联合(-1)VS海登海姆	0:0	0:1	1
2017/5/14	周日035	德乙	纽伦堡(+1)VS杜塞多夫	1:1	2:3	5
2017/5/9	周一010	德乙	不伦瑞克(-1)VS柏林联合	1:0	3:1	4
2017/5/7	周日037	德乙	波鸿(-1)VS比勒费	0:1	1:1	2
2017/5/7	周日036	德乙	斯图加特(-1)VS奥厄	1:0	3:0	3
2017/5/7	周日035	德乙	菲尔特(-1)VS卡斯鲁厄	0:0	0:1	1
2017/5/6	周六009	德乙	桑德豪森(-1)VS纽伦堡	0:0	0:1	1
2017/5/6	周六008	德乙	杜塞多夫(-1)VS维尔茨堡	0:0	1:1	2
2017/5/6	周五005	德乙	德累斯顿(-1)VS慕1860	0:1	1:2	3
2017/5/6	周五004	德乙	凯泽(-1)VS圣保利	0:0	1:2	3
2017/5/6	周五003	德乙	海登海姆(+1)VS汉诺威96	0:2	0:2	2
2017/4/30	周日032	德乙	慕1860(+1)VS不伦瑞克	0:0	0:1	1
2017/4/30	周日031	德乙	汉诺威96(-1)VS杜塞多夫	1:0	1:0	1
2017/4/30	周日030	德乙	奥厄(-1)VS维尔茨堡	3:0	3:1	4
2017/4/29	周六017	德乙	卡斯鲁厄(+1)VS凯泽	1:1	1:3	4
2017/4/29	周六016	德乙	比勒费(-1)VS菲尔特	0:0	1:1	2
2017/4/29	周六015	德乙	纽伦堡(+1)VS斯图加特	2:0	2:3	5
2017/4/29	周五003	德乙	波鸿(-1)VS德累斯顿	0:2	4:2	6
2017/4/29	周五002	德乙	圣保利(-1)VS海登海姆	0:0	3:0	3
2017/4/29	周五001	德乙	柏林联合(-1)VS桑德豪森	1:0	2:1	3
2017/4/25	周一008	德乙	斯图加特(-1)VS柏林联合	2:0	3:1	4
2017/4/23	周日014	德乙	桑德豪森(-1)VS卡斯鲁厄	2:0	4:0	4
2017/4/23	周日013	德乙	维尔茨堡(-1)VS纽伦堡	1:0	1:1	2
2017/4/23	周日012	德乙	不伦瑞克(-1)VS波鸿	0:0	2:0	2
