date,weekday,league,home_away,half,overtime
2017-05-20,周六024,德甲,霍芬海姆(-1)VS奥格斯堡,0:0,0:0
2017-05-20,周六023,德甲,柏林赫塔(-1)VS勒沃库森,0:3,2:6
2017-05-20,周六022,德甲,汉堡(-1)VS沃夫斯堡,1:1,2:1
2017-05-20,周六021,德甲,因戈施塔(+1)VS沙尔克04,1:1,1:1
2017-05-20,周六020,德甲,拜仁(-2)VS弗赖堡,1:0,4:1
2017-05-20,周六019,德甲,法兰克福(+1)VS莱红牛,0:1,2:2
2017-05-20,周六018,德甲,门兴(-1)VS达姆施塔,0:0,2:2
2017-05-20,周六017,德甲,多特蒙德(-2)VS不来梅,2:1,4:3
2017-05-20,周六016,德甲,科隆(-1)VS美因茨,1:0,2:0
2017-05-13,周六026,德甲,不来梅(+1)VS霍芬海姆,0:3,3:5
2017-05-13,周六025,德甲,沃夫斯堡(-1)VS门兴,0:1,1:1
2017-05-13,周六024,德甲,达姆施塔(+1)VS柏林赫塔,0:2,0:2
2017-05-13,周六023,德甲,弗赖堡(+1)VS因戈施塔,1:1,1:1
2017-05-13,周六022,德甲,莱红牛(+1)VS拜仁,2:1,4:5
2017-05-13,周六021,德甲,美因茨(-1)VS法兰克福,0:1,4:2
2017-05-13,周六020,德甲,沙尔克04(-1)VS汉堡,1:0,1:1
2017-05-13,周六019,德甲,奥格斯堡(+1)VS多特蒙德,1:1,1:1
2017-05-13,周六018,德甲,勒沃库森(-1)VS科隆,0:1,2:2
2017-05-07,周日066,德甲,弗赖堡(+1)VS沙尔克04,2:0,2:0
2017-05-07,周日058,德甲,汉堡(-1)VS美因茨,0:0,0:0
2017-05-07,周六037,德甲,柏林赫塔(+1)VS莱红牛,0:1,1:4
2017-05-06,周六019,德甲,因戈施塔(-1)VS勒沃库森,0:0,1:1
2017-05-06,周六018,德甲,拜仁(-3)VS达姆施塔,1:0,1:0
2017-05-06,周六017,德甲,法兰克福(-1)VS沃夫斯堡,0:0,0:2
2017-05-06,周六016,德甲,门兴(-1)VS奥格斯堡,0:0,1:1
2017-05-06,周六015,德甲,多特蒙德(-1)VS霍芬海姆,1:0,2:1
2017-05-06,周五024,德甲,科隆(-1)VS不来梅,3:2,4:3
2017-04-30,周日053,德甲,霍芬海姆(-1)VS法兰克福,0:0,1:0
2017-04-30,周日045,德甲,奥格斯堡(-1)VS汉堡,2:0,4:0
2017-04-30,周六055,德甲,沃夫斯堡(+1)VS拜仁,0:3,0:6
2017-04-29,周六025,德甲,不来梅(-1)VS柏林赫塔,2:0,2:0
2017-04-29,周六024,德甲,达姆施塔(+1)VS弗赖堡,2:0,3:0
2017-04-29,周六023,德甲,莱红牛(-1)VS因戈施塔,0:0,0:0
2017-04-29,周六022,德甲,美因茨(-1)VS门兴,0:1,1:2
2017-04-29,周六021,德甲,多特蒙德(-1)VS科隆,0:0,0:0
2017-04-29,周五021,德甲,勒沃库森(-1)VS沙尔克04,0:3,1:4
2017-04-23,周日036,德甲,沙尔克04(+1)VS莱红牛,0:1,1:1
2017-04-23,周日027,德甲,弗赖堡(+1)VS勒沃库森,1:0,2:1
2017-04-23,周六067,德甲,门兴(+1)VS多特蒙德,1:1,2:3
2017-04-22,周六029,德甲,柏林赫塔(-1)VS沃夫斯堡,0:0,1:0
2017-04-22,周六028,德甲,汉堡(-1)VS达姆施塔,0:0,1:2
2017-04-22,周六027,德甲,因戈施塔(-1)VS不来梅,1:1,2:4
2017-04-22,周六026,德甲,拜仁(-2)VS美因茨,1:2,2:2
