qingfen_id,line_station,line_id,station_id,name
001,0101,01,01,西朗
002,0102,01,02,坑口
003,0103,01,03,花地湾
004,0104,01,04,芳村
005,0105,01,05,黄沙
006,0106,01,06,长寿路
007,0107,01,07,陈家祠
008,0108,01,08,西门口
010,0110,01,10,农讲所
011,0111,01,11,烈士陵园
012,0112,01,12,东山口
013,0113,01,13,杨箕
014,0114,01,14,体育西路
015,0115,01,15,体育中心
016,0116,01,16,广州东站
025,0209,02,09,江南西
026,0210,02,10,市二宫
027,0211,02,11,海珠广场
028,0213,02,13,纪念堂
029,0214,02,14,越秀公园
030,0215,02,15,广州火车站
031,0216,02,16,三元里
014,0303,03,03,体育西路
033,0304,03,04,珠江新城
034,0305,03,05,广州塔
021,0306,03,06,客村
035,0307,03,07,大塘
036,0308,03,08,沥滘
037,0309,03,09,厦滘
038,0310,03,10,大石
039,0311,03,11,汉溪长隆
040,0312,03,12,市桥
041,0313,03,13,番禺广场
042,0314,03,14,天河客运站
043,0315,03,15,五山
044,0316,03,16,华师
045,0317,03,17,岗顶
046,0318,03,18,石牌桥
047,0408,04,08,万胜围
048,0409,04,09,官洲
049,0410,04,10,大学城北
016,0301,03,01,广州东站
032,0302,03,02,林和西
050,0411,04,11,大学城南
051,0412,04,12,新造
052,0413,04,13,石碁
053,0414,04,14,海傍
054,0415,04,15,低涌
055,0416,04,16,东涌
056,0417,04,17,黄阁汽车城
057,0418,04,18,黄阁
058,0419,04,19,蕉门
059,0420,04,20,金洲
009,0109,01,09,公园前
009,0212,02,12,公园前
061,0501,05,01,滘口
062,0502,05,02,坦尾
063,0503,05,03,中山八
064,0504,05,04,西场
065,0505,05,05,西村
030,0506,05,06,广州火车站
066,0507,05,07,小北
067,0508,05,08,淘金
068,0509,05,09,区庄
069,0510,05,10,动物园
013,0511,05,11,杨箕
070,0512,05,12,五羊邨
033,0513,05,13,珠江新城
071,0514,05,14,猎德
072,0515,05,15,潭村
073,0516,05,16,员村
074,0517,05,17,科韵路
060,0518,05,18,车陂南
075,0519,05,19,东圃
076,0520,05,20,三溪
077,0521,05,21,鱼珠
078,0522,05,22,大沙地
079,0523,05,23,大沙东
080,0524,05,24,文冲
081,0223,02,23,嘉禾望岗
082,0222,02,22,黄边
083,0221,02,21,江夏
084,0220,02,20,萧岗
085,0219,02,19,白云文化广场
086,0218,02,18,白云公园
087,0217,02,17,飞翔公园
088,0241,02,41,昌岗
089,0242,02,42,江泰路
090,0243,02,43,东晓南
091,0244,02,44,南洲
092,0245,02,45,洛溪
093,0246,02,46,南浦
094,0247,02,47,会江
095,0248,02,48,石壁
096,0249,02,49,广州南站
097,0405,04,05,黄村
098,0406,04,06,车陂
099,0814,08,14,凤凰新村
100,0815,08,15,沙园
101,0816,08,16,宝岗大道
024,0818,08,18,晓港
023,0819,08,19,中大
022,0820,08,20,鹭江
021,0821,08,21,客村
020,0822,08,22,赤岗
019,0823,08,23,磨碟沙
018,0824,08,24,新港东
017,0825,08,25,琶洲
103,3002,30,02,机场南
105,3004,30,04,人和
106,3005,30,05,龙归
107,3007,30,07,永泰
108,3008,30,08,同和
109,3009,30,09,京溪南方医院
110,3010,30,10,梅花园
111,3011,30,11,燕塘
112,6001,60,01,魁奇路
113,6002,60,02,季华园
114,6003,60,03,同济路
115,6004,60,04,祖庙
116,6005,60,05,普君北路
117,6006,60,06,朝安
118,6007,60,07,桂城
119,6008,60,08,南桂路
120,6009,60,09,虫雷岗
121,6010,60,10,千灯湖
122,6011,60,11,金融高新区
123,6012,60,12,龙溪
124,6013,60,13,菊树
001,6014,60,14,西朗
125,3006,30,06,白云大道北
126,0601,06,01,浔峰岗
127,0602,06,02,横沙
128,0603,06,03,沙贝
129,0604,06,04,河沙
062,0605,06,05,坦尾
130,0606,06,06,如意坊
005,0607,06,07,黄沙
131,0608,06,08,文化公园
132,0609,06,09,一德路
027,0610,06,10,海珠广场
133,0611,06,11,北京路
134,0612,06,12,团一大广场
135,0613,06,13,东湖
012,0614,06,14,东山口
068,0615,06,15,区庄
136,0616,06,16,黄花岗
137,0617,06,17,沙河顶
139,0619,06,19,天平架
042,0621,06,21,天河客运站
140,0622,06,22,长湴
142,0624,06,24,龙洞
144,0626,06,26,高塘石
145,0627,06,27,黄陂
146,0628,06,28,金峰
147,0629,06,29,暹岗
148,0630,06,30,苏元
149,0631,06,31,萝岗
150,0632,06,32,香雪
096,0701,07,01,广州南站
095,0702,07,02,石壁
151,0703,07,03,谢村
152,0704,07,04,钟村
039,0705,07,05,汉溪长隆
153,0706,07,06,南村万博
154,0707,07,07,员岗
155,0708,07,08,板桥
050,0709,07,09,大学城南
104,3003,30,03,高增
